Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Latitude,Longitude
RPT-105878,26-11-2025,18-11-2025,03:06,Chennai,E505,Robbery,82,Other,None,Commercial,9,Yes,24:39.5,13.09326592,80.26368672
RPT-105879,13-07-2025,05-07-2025,01:03,Kolkata,F606,Cyber Crime,24,Other,Blunt Object,Public,12,No,,22.57584024,88.34822753
RPT-105880,28-04-2025,26-04-2025,10:42,Hyderabad,G707,Cyber Crime,80,Female,Knife,Private,23,Yes,24:39.5,17.37192944,78.46842662
RPT-105881,22-10-2025,07-10-2025,14:45,Bangalore,F606,Kidnapping,26,Male,Unknown,Transport,11,Yes,24:39.5,12.9575503,77.61103778
RPT-105882,03-02-2025,28-01-2025,01:52,Pune,F606,Fraud,52,Other,None,Public,6,No,,18.50498088,73.85826254
RPT-105883,15-11-2025,13-11-2025,03:31,Chennai,G707,Burglary,46,Female,Blunt Object,Commercial,22,No,,13.09972869,80.26306944
RPT-105884,26-10-2025,21-10-2025,05:55,Kolkata,G707,Theft,27,Male,None,Commercial,22,No,,22.5529586,88.37019936
RPT-105885,16-02-2025,13-02-2025,03:09,Delhi,F606,Fraud,62,Male,Gun,Private,9,Yes,24:39.5,28.69956546,77.11290339
RPT-105886,19-08-2025,15-08-2025,18:51,Mumbai,D404,Assault,62,Female,Gun,Cyber,15,No,,19.05688735,72.87412293
RPT-105887,26-02-2025,11-02-2025,11:32,Delhi,C303,Robbery,17,Other,Blunt Object,Transport,16,Yes,24:39.5,28.71092264,77.11616311
RPT-105888,29-03-2025,21-03-2025,00:02,Bangalore,A101,Theft,11,Other,None,Transport,18,No,,12.97191084,77.58658499
RPT-105889,08-05-2025,27-04-2025,13:36,Hyderabad,C303,Burglary,85,Male,Gun,Residential,18,Yes,24:39.5,17.39182475,78.49176486
RPT-105890,13-12-2024,05-12-2024,18:03,Bangalore,E505,Fraud,20,Other,Poison,Public,3,No,,12.95652497,77.59791717
RPT-105891,28-09-2025,23-09-2025,17:25,Hyderabad,E505,Robbery,28,Male,Gun,Private,11,Yes,24:39.5,17.36891118,78.48249025
RPT-105892,22-01-2025,13-01-2025,06:26,Chennai,F606,Burglary,18,Male,Blunt Object,Cyber,22,No,,13.09058668,80.28324247
RPT-105893,11-08-2025,03-08-2025,00:34,Bangalore,D404,Robbery,58,Male,None,Cyber,8,Yes,24:39.5,12.98289191,77.61288361
RPT-105894,25-08-2025,17-08-2025,12:37,Hyderabad,C303,Robbery,41,Female,None,Commercial,10,No,,17.40096911,78.4744002
RPT-105895,30-09-2025,23-09-2025,21:46,Chennai,B202,Theft,31,Other,Blunt Object,Cyber,25,No,,13.06833733,80.28209346
RPT-105896,04-07-2025,02-07-2025,01:47,Hyderabad,D404,Assault,38,Male,Unknown,Transport,30,No,,17.3894855,78.48992614
RPT-105897,06-06-2025,26-05-2025,11:22,Bangalore,B202,Assault,57,Male,Gun,Cyber,27,Yes,24:39.5,12.97292379,77.61063648
RPT-105898,31-05-2025,19-05-2025,06:56,Bangalore,C303,Kidnapping,16,Other,None,Public,9,No,,12.96535606,77.58139825
RPT-105899,25-06-2025,18-06-2025,05:12,Pune,G707,Cyber Crime,58,Other,Blunt Object,Private,27,Yes,24:39.5,18.50409215,73.8612997
RPT-105900,13-01-2025,07-01-2025,20:53,Chennai,E505,Robbery,81,Other,None,Commercial,27,No,,13.10131125,80.27161801
RPT-105901,26-08-2025,15-08-2025,09:22,Mumbai,B202,Cyber Crime,21,Other,Unknown,Private,23,No,,19.0850045,72.89098245
RPT-105902,09-01-2025,03-01-2025,08:43,Chennai,G707,Fraud,10,Female,Gun,Residential,9,No,,13.10200866,80.28146758
RPT-105903,02-12-2024,30-11-2024,02:50,Bangalore,F606,Cyber Crime,74,Male,Knife,Residential,20,No,,12.97186382,77.58650307
RPT-105904,19-06-2025,11-06-2025,02:24,Bangalore,A101,Theft,23,Other,Unknown,Private,11,Yes,24:39.5,12.97968671,77.59397416
RPT-105905,26-08-2025,12-08-2025,07:30,Mumbai,C303,Burglary,66,Other,Poison,Public,25,No,,19.07527908,72.88032076
RPT-105906,09-11-2025,26-10-2025,00:36,Delhi,D404,Cyber Crime,12,Male,Gun,Cyber,3,Yes,24:39.5,28.70859008,77.09410885
RPT-105907,19-02-2025,14-02-2025,11:17,Pune,D404,Kidnapping,47,Other,Gun,Private,12,Yes,24:39.5,18.51723777,73.84498266
RPT-105908,11-05-2025,10-05-2025,19:56,Mumbai,C303,Theft,55,Other,Blunt Object,Cyber,3,Yes,24:39.5,19.06564055,72.86935969
RPT-105909,31-12-2024,17-12-2024,19:35,Chennai,C303,Theft,60,Female,Poison,Residential,19,Yes,24:39.5,13.09780631,80.2742662
RPT-105910,11-11-2024,01-11-2024,23:44,Hyderabad,C303,Theft,49,Other,Knife,Private,14,Yes,24:39.5,17.38241745,78.46776274
RPT-105911,14-03-2025,10-03-2025,10:25,Pune,A101,Fraud,19,Male,Unknown,Commercial,27,Yes,24:39.5,18.51435007,73.84504426
RPT-105912,27-02-2025,17-02-2025,02:40,Kolkata,F606,Cyber Crime,59,Male,Unknown,Public,15,No,,22.59039006,88.35257377
RPT-105913,21-11-2024,13-11-2024,11:15,Hyderabad,B202,Fraud,18,Female,Unknown,Public,28,Yes,24:39.5,17.37372409,78.47058009
RPT-105914,07-07-2025,27-06-2025,17:55,Kolkata,C303,Fraud,36,Female,Gun,Private,29,No,,22.57669404,88.36758531
RPT-105915,16-03-2025,09-03-2025,23:06,Mumbai,G707,Theft,47,Female,Knife,Transport,7,Yes,24:39.5,19.08956356,72.87220392
RPT-105916,05-04-2025,26-03-2025,23:22,Kolkata,A101,Fraud,45,Male,Gun,Transport,15,No,,22.58702576,88.35541332
RPT-105917,20-02-2025,10-02-2025,04:03,Pune,F606,Kidnapping,80,Other,Unknown,Commercial,14,Yes,24:39.5,18.50277004,73.85006579
RPT-105918,27-09-2025,15-09-2025,13:55,Delhi,G707,Assault,32,Other,Poison,Residential,30,No,,28.70141822,77.09526532
RPT-105919,09-01-2025,30-12-2024,16:44,Hyderabad,E505,Fraud,12,Other,Gun,Public,8,No,,17.38550972,78.50582284
RPT-105920,13-06-2025,02-06-2025,22:54,Pune,D404,Theft,46,Other,Poison,Commercial,9,Yes,24:39.5,18.50234077,73.84440826
RPT-105921,01-06-2025,24-05-2025,12:17,Pune,A101,Burglary,67,Male,Blunt Object,Commercial,16,No,,18.51358026,73.86265141
RPT-105922,22-12-2024,16-12-2024,06:33,Chennai,E505,Robbery,35,Male,Unknown,Public,14,Yes,24:39.5,13.09889151,80.25916559
RPT-105923,08-07-2025,30-06-2025,00:25,Bangalore,A101,Robbery,85,Other,Knife,Commercial,27,Yes,24:39.5,12.95978409,77.58009937
RPT-105924,19-04-2025,15-04-2025,02:38,Pune,C303,Burglary,82,Female,Blunt Object,Cyber,23,Yes,24:39.5,18.52063282,73.87458255
RPT-105925,15-02-2025,10-02-2025,19:39,Bangalore,F606,Burglary,66,Other,Knife,Residential,24,No,,12.98183186,77.60001755
RPT-105926,03-10-2025,23-09-2025,17:22,Kolkata,E505,Theft,71,Other,Blunt Object,Private,10,No,,22.58238084,88.38257717
RPT-105927,29-12-2024,24-12-2024,19:11,Pune,A101,Robbery,53,Other,Unknown,Public,15,Yes,24:39.5,18.53228758,73.86063839
RPT-105928,01-10-2025,18-09-2025,22:38,Kolkata,G707,Cyber Crime,20,Other,Unknown,Commercial,25,No,,22.58799449,88.34392351
RPT-105929,16-08-2025,10-08-2025,16:00,Delhi,G707,Kidnapping,16,Male,Blunt Object,Residential,29,Yes,24:39.5,28.72354113,77.110912
RPT-105930,06-09-2025,01-09-2025,00:16,Mumbai,F606,Assault,81,Male,Unknown,Residential,25,Yes,24:39.5,19.07870265,72.89093342
RPT-105931,18-11-2025,11-11-2025,12:58,Hyderabad,B202,Kidnapping,60,Male,Unknown,Private,7,No,,17.39036843,78.49053951
RPT-105932,01-06-2025,25-05-2025,09:27,Bangalore,G707,Kidnapping,71,Other,Unknown,Private,24,Yes,24:39.5,12.98993509,77.57751294
RPT-105933,01-02-2025,26-01-2025,19:25,Mumbai,F606,Fraud,26,Other,Gun,Cyber,15,Yes,24:39.5,19.08652879,72.88161816
RPT-105934,25-04-2025,20-04-2025,00:50,Chennai,E505,Theft,12,Female,None,Private,10,No,,13.08413191,80.27568898
RPT-105935,17-10-2025,06-10-2025,08:32,Bangalore,E505,Burglary,77,Other,Blunt Object,Public,4,No,,12.97604994,77.61255101
RPT-105936,13-06-2025,12-06-2025,16:25,Pune,B202,Assault,68,Female,Knife,Residential,10,Yes,24:39.5,18.53879057,73.85294105
RPT-105937,25-02-2025,12-02-2025,10:07,Bangalore,A101,Cyber Crime,18,Male,Poison,Commercial,14,No,,12.9824995,77.58918429
RPT-105938,16-09-2025,08-09-2025,02:30,Chennai,E505,Kidnapping,76,Male,Poison,Commercial,29,No,,13.06837466,80.26406341
RPT-105939,16-06-2025,06-06-2025,22:23,Chennai,E505,Burglary,70,Female,Gun,Residential,26,Yes,24:39.5,13.09997425,80.28083856
RPT-105940,24-08-2025,18-08-2025,01:37,Mumbai,E505,Theft,28,Male,Gun,Private,10,No,,19.06929477,72.85873315
RPT-105941,21-10-2025,12-10-2025,21:15,Kolkata,B202,Assault,50,Other,Blunt Object,Residential,6,Yes,24:39.5,22.56036878,88.37280959
RPT-105942,31-08-2025,19-08-2025,10:20,Kolkata,B202,Kidnapping,75,Other,None,Transport,29,Yes,24:39.5,22.55620253,88.37636089
RPT-105943,17-01-2025,04-01-2025,16:07,Pune,B202,Cyber Crime,19,Male,Knife,Commercial,3,No,,18.52514827,73.8404027
RPT-105944,19-09-2025,07-09-2025,07:53,Mumbai,C303,Kidnapping,18,Male,Blunt Object,Residential,2,No,,19.07330776,72.88483626
RPT-105945,06-10-2025,22-09-2025,15:13,Mumbai,B202,Kidnapping,19,Female,Gun,Private,29,No,,19.09111717,72.88230745
RPT-105946,14-12-2024,29-11-2024,08:58,Kolkata,F606,Fraud,40,Other,Unknown,Cyber,22,No,,22.58126987,88.36452113
RPT-105947,14-01-2025,05-01-2025,03:56,Mumbai,G707,Kidnapping,10,Male,Gun,Residential,17,No,,19.07918785,72.8964889
RPT-105948,23-03-2025,21-03-2025,18:52,Kolkata,G707,Theft,48,Female,None,Private,23,No,,22.58397098,88.36112837
RPT-105949,25-01-2025,16-01-2025,12:51,Delhi,B202,Kidnapping,14,Female,Knife,Residential,5,No,,28.69771677,77.09437346
RPT-105950,28-06-2025,27-06-2025,06:46,Delhi,G707,Assault,68,Female,Poison,Commercial,23,Yes,24:39.5,28.71266075,77.10812087
RPT-105951,21-08-2025,12-08-2025,04:51,Mumbai,G707,Theft,12,Male,None,Public,19,No,,19.08769556,72.88146862
RPT-105952,20-01-2025,16-01-2025,12:23,Delhi,G707,Robbery,14,Male,Blunt Object,Transport,15,Yes,24:39.5,28.72057929,77.11303885
RPT-105953,16-12-2024,04-12-2024,11:52,Mumbai,C303,Robbery,82,Male,None,Transport,2,Yes,24:39.5,19.09327543,72.87031123
RPT-105954,06-12-2025,24-11-2025,09:53,Bangalore,E505,Assault,46,Other,Gun,Public,22,No,,12.95560861,77.60096146
RPT-105955,14-09-2025,01-09-2025,19:57,Kolkata,D404,Robbery,57,Other,Blunt Object,Cyber,30,No,,22.58798153,88.36188398
RPT-105956,14-03-2025,03-03-2025,01:32,Mumbai,F606,Kidnapping,34,Other,Unknown,Commercial,30,No,,19.09338949,72.88922834
RPT-105957,30-01-2025,15-01-2025,01:26,Kolkata,F606,Robbery,61,Male,Blunt Object,Transport,24,No,,22.55278023,88.36951063
RPT-105958,30-06-2025,16-06-2025,02:25,Pune,C303,Kidnapping,40,Other,Gun,Public,4,Yes,24:39.5,18.52453656,73.86341747
RPT-105959,25-09-2025,11-09-2025,22:25,Bangalore,G707,Cyber Crime,15,Male,Poison,Commercial,16,Yes,24:39.5,12.97435649,77.60275822
RPT-105960,18-02-2025,17-02-2025,09:34,Hyderabad,B202,Robbery,59,Female,Blunt Object,Public,19,No,,17.39822266,78.46891086
RPT-105961,29-04-2025,27-04-2025,12:06,Delhi,G707,Cyber Crime,49,Other,Blunt Object,Residential,1,Yes,24:39.5,28.7123232,77.11485976
RPT-105962,08-09-2025,03-09-2025,16:50,Kolkata,E505,Fraud,28,Male,Knife,Private,20,No,,22.56991257,88.37022676
RPT-105963,09-05-2025,01-05-2025,10:39,Bangalore,G707,Kidnapping,81,Other,Knife,Transport,28,No,,12.98634139,77.57612923
RPT-105964,13-03-2025,05-03-2025,09:14,Delhi,G707,Fraud,82,Male,None,Cyber,1,Yes,24:39.5,28.68588814,77.12233569
RPT-105965,21-02-2025,08-02-2025,00:28,Chennai,A101,Burglary,67,Male,None,Commercial,10,Yes,24:39.5,13.07171913,80.26056755
RPT-105966,30-04-2025,26-04-2025,09:03,Pune,D404,Kidnapping,17,Other,Knife,Public,28,No,,18.50537878,73.87660521
RPT-105967,02-05-2025,27-04-2025,10:26,Hyderabad,F606,Kidnapping,51,Male,None,Public,28,Yes,24:39.5,17.38328349,78.47988822
RPT-105968,04-03-2025,01-03-2025,09:36,Bangalore,F606,Theft,35,Other,None,Residential,7,Yes,24:39.5,12.97402949,77.58335339
RPT-105969,10-05-2025,05-05-2025,18:05,Bangalore,F606,Fraud,81,Other,None,Commercial,28,No,,12.96490678,77.58391524
RPT-105970,14-07-2025,04-07-2025,00:30,Pune,C303,Robbery,54,Other,None,Transport,6,No,,18.52980135,73.87388369
RPT-105971,17-09-2025,13-09-2025,04:44,Bangalore,D404,Burglary,41,Other,Unknown,Transport,22,No,,12.97520001,77.57750342
RPT-105972,23-04-2025,21-04-2025,10:59,Bangalore,C303,Robbery,19,Male,Blunt Object,Commercial,23,Yes,24:39.5,12.96738709,77.59047927
RPT-105973,14-06-2025,06-06-2025,03:40,Bangalore,C303,Burglary,27,Male,Blunt Object,Residential,13,No,,12.96367265,77.57716585
RPT-105974,20-04-2025,14-04-2025,23:57,Bangalore,D404,Fraud,14,Other,Poison,Commercial,15,No,,12.96055019,77.57740285
RPT-105975,25-07-2025,12-07-2025,21:44,Bangalore,E505,Burglary,81,Female,Knife,Public,23,No,,12.95579845,77.60180644
RPT-105976,04-07-2025,24-06-2025,16:39,Delhi,B202,Fraud,25,Male,Gun,Private,24,No,,28.70497943,77.10558688
RPT-105977,20-03-2025,17-03-2025,22:41,Pune,F606,Burglary,66,Other,Knife,Commercial,4,Yes,24:39.5,18.52229909,73.87388165
RPT-105978,27-04-2025,16-04-2025,05:57,Chennai,D404,Kidnapping,12,Male,Gun,Public,27,Yes,24:39.5,13.08543134,80.28283624
RPT-105979,12-12-2024,05-12-2024,12:27,Hyderabad,E505,Fraud,76,Other,None,Cyber,11,No,,17.37913968,78.4740436
RPT-105980,11-02-2025,30-01-2025,14:18,Mumbai,G707,Burglary,17,Male,Gun,Transport,17,Yes,24:39.5,19.05745108,72.88427076
RPT-105981,05-11-2024,25-10-2024,06:28,Hyderabad,G707,Theft,11,Other,Knife,Transport,18,No,,17.37824623,78.50391724
RPT-105982,24-03-2025,09-03-2025,05:07,Hyderabad,C303,Theft,64,Female,Blunt Object,Residential,16,Yes,24:39.5,17.39089865,78.50101248
RPT-105983,12-09-2025,03-09-2025,07:24,Pune,A101,Burglary,38,Other,Unknown,Private,4,No,,18.51437655,73.86418964
RPT-105984,30-01-2025,27-01-2025,15:34,Hyderabad,B202,Burglary,19,Male,None,Transport,28,Yes,24:39.5,17.39171426,78.47333817
RPT-105985,10-03-2025,01-03-2025,07:45,Delhi,D404,Robbery,76,Female,Unknown,Transport,1,No,,28.69040056,77.11162448
RPT-105986,01-07-2025,20-06-2025,13:09,Chennai,C303,Assault,21,Other,Knife,Transport,14,No,,13.07047105,80.27167093
RPT-105987,31-03-2025,29-03-2025,22:39,Hyderabad,F606,Assault,83,Male,Unknown,Cyber,11,No,,17.37898663,78.49445623
RPT-105988,27-04-2025,24-04-2025,16:54,Pune,D404,Robbery,52,Male,Unknown,Private,11,No,,18.53241781,73.8619015
RPT-105989,10-03-2025,05-03-2025,21:06,Mumbai,G707,Burglary,48,Other,None,Residential,30,No,,19.08271604,72.89699279
RPT-105990,02-09-2025,20-08-2025,12:17,Chennai,D404,Fraud,11,Male,Unknown,Public,6,Yes,24:39.5,13.07794797,80.27829054
RPT-105991,04-10-2025,25-09-2025,08:31,Chennai,B202,Fraud,41,Other,Knife,Public,28,No,,13.09670629,80.268816
RPT-105992,07-11-2024,29-10-2024,10:42,Pune,A101,Fraud,49,Other,Knife,Residential,1,Yes,24:39.5,18.52238581,73.86433159
RPT-105993,18-11-2025,11-11-2025,20:17,Kolkata,G707,Assault,62,Female,Knife,Transport,12,Yes,24:39.5,22.56398152,88.3764987
RPT-105994,10-08-2025,31-07-2025,09:09,Pune,G707,Fraud,53,Female,Blunt Object,Commercial,17,No,,18.52958358,73.83832177
RPT-105995,02-10-2025,26-09-2025,16:00,Chennai,A101,Burglary,71,Male,None,Private,20,Yes,24:39.5,13.08666578,80.26744503
RPT-105996,21-11-2024,16-11-2024,00:32,Pune,E505,Burglary,67,Other,Gun,Cyber,9,Yes,24:39.5,18.5168173,73.84926132
RPT-105997,04-09-2025,21-08-2025,20:16,Pune,D404,Assault,41,Male,Knife,Commercial,18,Yes,24:39.5,18.5281182,73.85633217
RPT-105998,05-05-2025,02-05-2025,11:51,Delhi,A101,Kidnapping,24,Female,Poison,Residential,17,No,,28.70846338,77.11179517
RPT-105999,09-01-2025,02-01-2025,06:45,Chennai,B202,Cyber Crime,33,Female,Knife,Public,16,Yes,24:39.5,13.09592695,80.25798694
RPT-106000,25-09-2025,21-09-2025,01:41,Pune,C303,Assault,41,Other,Unknown,Residential,13,No,,18.53080658,73.87295503
RPT-106001,07-12-2024,29-11-2024,00:53,Kolkata,G707,Robbery,58,Other,Gun,Cyber,5,Yes,24:39.5,22.58457353,88.3685304
RPT-106002,31-10-2025,19-10-2025,23:03,Chennai,A101,Robbery,30,Male,Unknown,Private,17,No,,13.08858713,80.29055068
RPT-106003,06-02-2025,01-02-2025,15:23,Delhi,G707,Cyber Crime,32,Other,Poison,Residential,27,Yes,24:39.5,28.69194692,77.10489851
RPT-106004,12-03-2025,07-03-2025,17:59,Bangalore,F606,Theft,31,Male,Gun,Cyber,25,Yes,24:39.5,12.96868165,77.59790498
RPT-106005,01-06-2025,26-05-2025,05:34,Kolkata,B202,Theft,71,Male,Knife,Cyber,26,No,,22.57941318,88.36710045
RPT-106006,04-11-2025,03-11-2025,15:13,Bangalore,E505,Burglary,35,Female,Poison,Residential,28,No,,12.97586247,77.61448308
RPT-106007,07-12-2024,06-12-2024,10:59,Delhi,C303,Fraud,36,Female,Poison,Private,18,Yes,24:39.5,28.71199625,77.09660653
RPT-106008,18-04-2025,13-04-2025,01:13,Delhi,F606,Robbery,45,Male,Poison,Public,18,Yes,24:39.5,28.70103405,77.11915017
RPT-106009,22-06-2025,20-06-2025,12:07,Pune,D404,Fraud,46,Other,Poison,Commercial,23,No,,18.50963014,73.84863722
RPT-106010,03-11-2024,19-10-2024,14:20,Pune,B202,Kidnapping,80,Other,Knife,Public,15,Yes,24:39.5,18.51438192,73.84799206
RPT-106011,22-07-2025,07-07-2025,23:13,Pune,F606,Theft,11,Female,Knife,Private,30,No,,18.53924554,73.86364594
RPT-106012,16-01-2025,02-01-2025,19:50,Mumbai,B202,Cyber Crime,79,Other,Blunt Object,Public,16,No,,19.07832149,72.85804887
RPT-106013,27-10-2025,24-10-2025,11:26,Kolkata,C303,Kidnapping,51,Male,Gun,Public,26,No,,22.56728818,88.35189095
RPT-106014,23-11-2024,09-11-2024,23:54,Pune,F606,Robbery,63,Male,Poison,Residential,17,No,,18.5301838,73.84984027
RPT-106015,02-12-2025,29-11-2025,22:30,Bangalore,C303,Theft,70,Male,Poison,Cyber,18,Yes,24:39.5,12.9767366,77.5985827
RPT-106016,02-11-2025,18-10-2025,12:59,Pune,A101,Cyber Crime,47,Other,Poison,Transport,8,No,,18.53479021,73.87032455
RPT-106017,24-05-2025,09-05-2025,06:52,Kolkata,A101,Fraud,15,Male,Knife,Residential,20,No,,22.5631766,88.34640813
RPT-106018,14-06-2025,07-06-2025,23:06,Chennai,F606,Kidnapping,20,Male,None,Residential,13,No,,13.08983159,80.26539268
RPT-106019,01-04-2025,23-03-2025,08:58,Pune,B202,Assault,53,Female,Unknown,Public,29,No,,18.53377402,73.86351046
RPT-106020,20-03-2025,06-03-2025,18:54,Delhi,D404,Burglary,25,Other,Blunt Object,Public,15,Yes,24:39.5,28.71953759,77.11673348
RPT-106021,12-09-2025,06-09-2025,16:42,Delhi,A101,Kidnapping,35,Female,None,Commercial,18,No,,28.72127215,77.10830924
RPT-106022,04-10-2025,22-09-2025,07:43,Pune,D404,Burglary,60,Other,Knife,Cyber,2,No,,18.5056441,73.87007597
RPT-106023,16-05-2025,02-05-2025,01:55,Mumbai,A101,Cyber Crime,72,Female,Knife,Cyber,13,Yes,24:39.5,19.08950433,72.86391278
RPT-106024,03-08-2025,29-07-2025,07:41,Chennai,B202,Robbery,41,Male,Gun,Commercial,1,No,,13.10000068,80.25793131
RPT-106025,05-07-2025,29-06-2025,01:32,Mumbai,A101,Burglary,42,Female,Blunt Object,Transport,2,No,,19.09406854,72.8672334
RPT-106026,21-11-2024,19-11-2024,07:55,Mumbai,C303,Fraud,19,Other,Knife,Transport,19,No,,19.08560145,72.86043665
RPT-106027,10-11-2025,31-10-2025,17:01,Hyderabad,E505,Kidnapping,39,Male,Gun,Commercial,8,No,,17.37311122,78.48322702
RPT-106028,22-09-2025,19-09-2025,15:47,Kolkata,A101,Kidnapping,25,Other,Gun,Public,17,Yes,24:39.5,22.56726247,88.38302646
RPT-106029,18-10-2025,10-10-2025,09:10,Mumbai,D404,Fraud,46,Other,Knife,Public,27,No,,19.05691184,72.88754246
RPT-106030,13-03-2025,03-03-2025,13:55,Bangalore,E505,Robbery,71,Female,Gun,Public,11,Yes,24:39.5,12.9736153,77.58934063
RPT-106031,11-05-2025,01-05-2025,08:26,Hyderabad,C303,Assault,72,Other,None,Residential,15,No,,17.38582808,78.46949912
RPT-106032,25-04-2025,19-04-2025,13:38,Pune,D404,Kidnapping,78,Male,Knife,Public,12,Yes,24:39.5,18.52482946,73.84895904
RPT-106033,19-12-2024,12-12-2024,13:52,Kolkata,G707,Theft,55,Female,Unknown,Commercial,26,Yes,24:39.5,22.55317589,88.3551122
RPT-106034,06-07-2025,21-06-2025,02:01,Pune,A101,Kidnapping,38,Other,None,Cyber,29,No,,18.50371066,73.86884991
RPT-106035,02-02-2025,26-01-2025,21:51,Pune,B202,Robbery,30,Other,Unknown,Cyber,15,No,,18.50766643,73.85526703
RPT-106036,22-04-2025,11-04-2025,01:09,Delhi,E505,Robbery,23,Female,None,Public,3,Yes,24:39.5,28.69739235,77.11656406
RPT-106037,25-09-2025,15-09-2025,17:57,Bangalore,E505,Burglary,10,Male,Unknown,Commercial,30,No,,12.98267393,77.60786225
RPT-106038,23-09-2025,09-09-2025,18:54,Hyderabad,E505,Assault,65,Other,None,Private,8,Yes,24:39.5,17.38151507,78.48331304
RPT-106039,24-02-2025,17-02-2025,00:08,Hyderabad,C303,Fraud,29,Female,Gun,Transport,7,Yes,24:39.5,17.3808836,78.48595973
RPT-106040,04-09-2025,29-08-2025,10:20,Kolkata,C303,Theft,70,Male,Unknown,Transport,18,Yes,24:39.5,22.5873766,88.37911077
RPT-106041,01-09-2025,27-08-2025,18:17,Mumbai,B202,Fraud,20,Other,Blunt Object,Commercial,19,Yes,24:39.5,19.07805693,72.87820537
RPT-106042,18-11-2025,08-11-2025,10:24,Mumbai,F606,Assault,37,Male,None,Commercial,8,No,,19.0926037,72.87050658
RPT-106043,09-06-2025,03-06-2025,01:06,Chennai,D404,Kidnapping,12,Male,Blunt Object,Cyber,28,No,,13.07486046,80.2810408
RPT-106044,24-11-2025,14-11-2025,17:02,Delhi,D404,Fraud,17,Male,None,Public,9,No,,28.68819206,77.12112318
RPT-106045,20-11-2025,11-11-2025,14:22,Bangalore,E505,Cyber Crime,13,Male,Blunt Object,Private,25,No,,12.98705166,77.59602652
RPT-106046,15-11-2024,11-11-2024,20:26,Mumbai,F606,Fraud,50,Male,Poison,Residential,3,No,,19.0842821,72.89115605
RPT-106047,30-09-2025,26-09-2025,20:32,Hyderabad,F606,Assault,37,Female,Gun,Transport,17,Yes,24:39.5,17.38563872,78.5017871
RPT-106048,19-06-2025,13-06-2025,06:16,Chennai,F606,Fraud,71,Female,None,Transport,2,Yes,24:39.5,13.06592922,80.26348663
RPT-106049,19-12-2024,13-12-2024,21:20,Bangalore,F606,Fraud,82,Male,Blunt Object,Transport,25,Yes,24:39.5,12.99118774,77.59455665
RPT-106050,04-03-2025,01-03-2025,11:47,Mumbai,G707,Cyber Crime,66,Female,Knife,Commercial,24,Yes,24:39.5,19.09143906,72.85936227
RPT-106051,25-10-2025,21-10-2025,21:25,Chennai,D404,Kidnapping,32,Male,Blunt Object,Public,3,Yes,24:39.5,13.09771265,80.26370334
RPT-106052,06-10-2025,30-09-2025,14:50,Pune,D404,Burglary,65,Other,Knife,Public,17,Yes,24:39.5,18.53986836,73.87562327
RPT-106053,16-11-2024,02-11-2024,18:20,Hyderabad,G707,Burglary,50,Male,Blunt Object,Residential,5,Yes,24:39.5,17.38961033,78.4723022
RPT-106054,18-03-2025,14-03-2025,15:57,Hyderabad,B202,Burglary,46,Other,Poison,Transport,10,No,,17.39030487,78.50107914
RPT-106055,02-09-2025,19-08-2025,10:49,Bangalore,F606,Fraud,49,Male,Gun,Commercial,12,No,,12.95757574,77.58985264
RPT-106056,09-11-2025,02-11-2025,07:17,Hyderabad,F606,Cyber Crime,53,Female,Gun,Transport,7,No,,17.38168382,78.48221898
RPT-106057,13-02-2025,06-02-2025,17:27,Hyderabad,A101,Robbery,14,Female,None,Residential,1,No,,17.39742398,78.501037
RPT-106058,24-11-2025,21-11-2025,01:32,Kolkata,G707,Cyber Crime,40,Female,Blunt Object,Public,5,Yes,24:39.5,22.58196559,88.34542757
RPT-106059,17-12-2024,04-12-2024,02:01,Kolkata,E505,Robbery,13,Male,Knife,Transport,2,No,,22.56024727,88.36951731
RPT-106060,11-04-2025,27-03-2025,17:59,Delhi,B202,Kidnapping,17,Male,Unknown,Private,18,Yes,24:39.5,28.68943422,77.1008404
RPT-106061,03-03-2025,16-02-2025,05:45,Delhi,C303,Cyber Crime,66,Other,Knife,Commercial,7,No,,28.70531832,77.10334877
RPT-106062,13-08-2025,12-08-2025,12:31,Mumbai,G707,Kidnapping,31,Male,Poison,Cyber,19,No,,19.07722273,72.87152707
RPT-106063,26-10-2025,21-10-2025,11:13,Mumbai,B202,Robbery,24,Male,Gun,Commercial,29,Yes,24:39.5,19.06583453,72.8681529
RPT-106064,17-05-2025,15-05-2025,20:56,Bangalore,D404,Fraud,12,Other,Blunt Object,Cyber,15,No,,12.98547051,77.60623025
RPT-106065,26-05-2025,25-05-2025,03:29,Hyderabad,A101,Assault,33,Female,Blunt Object,Public,24,No,,17.40112035,78.4870267
RPT-106066,06-04-2025,28-03-2025,09:08,Pune,D404,Burglary,76,Male,Gun,Public,28,No,,18.50100443,73.85552323
RPT-106067,22-05-2025,12-05-2025,12:43,Mumbai,B202,Robbery,70,Male,Gun,Transport,25,Yes,24:39.5,19.08882975,72.89735374
RPT-106068,05-01-2025,25-12-2024,11:36,Delhi,G707,Burglary,56,Female,Knife,Private,15,Yes,24:39.5,28.71302095,77.1049551
